Date,Description,Amount
04/01/2026,VENDOR 90 PAYMENT,-78.99
04/02/2026,VENDOR 91 PAYMENT,-143.99
04/03/2026,VENDOR 92 PAYMENT,-7.99
04/04/2026,VENDOR 93 PAYMENT,-446.99
04/05/2026,VENDOR 94 PAYMENT,-390.99
04/06/2026,VENDOR 95 PAYMENT,-84.99
04/07/2026,VENDOR 96 PAYMENT,-39.99
04/08/2026,VENDOR 97 PAYMENT,-420.99
04/09/2026,VENDOR 98 PAYMENT,-137.99
04/10/2026,VENDOR 99 PAYMENT,-232.99
04/11/2026,VENDOR 100 PAYMENT,-298.99
04/12/2026,VENDOR 101 PAYMENT,-189.99
04/13/2026,VENDOR 102 PAYMENT,-467.99
04/14/2026,VENDOR 103 PAYMENT,-30.99
04/15/2026,VENDOR 104 PAYMENT,-147.99
04/16/2026,VENDOR 105 PAYMENT,-410.99
04/17/2026,VENDOR 106 PAYMENT,-486.99
04/18/2026,VENDOR 107 PAYMENT,-93.99
04/19/2026,VENDOR 108 PAYMENT,-485.99
04/20/2026,VENDOR 109 PAYMENT,-418.99
04/21/2026,VENDOR 110 PAYMENT,-441.99
04/22/2026,VENDOR 111 PAYMENT,-397.99
04/23/2026,VENDOR 112 PAYMENT,-217.99
04/24/2026,VENDOR 113 PAYMENT,-384.99
04/25/2026,VENDOR 114 PAYMENT,-83.99
04/26/2026,VENDOR 115 PAYMENT,-107.99
04/27/2026,VENDOR 116 PAYMENT,-158.99
04/28/2026,VENDOR 117 PAYMENT,-244.99
04/29/2026,VENDOR 118 PAYMENT,-172.99
04/30/2026,VENDOR 119 PAYMENT,-64.99
05/01/2026,VENDOR 120 PAYMENT,-239.99
05/02/2026,VENDOR 121 PAYMENT,-425.99
05/03/2026,VENDOR 122 PAYMENT,-498.99
05/04/2026,VENDOR 123 PAYMENT,-311.99
05/05/2026,VENDOR 124 PAYMENT,-404.99
05/06/2026,VENDOR 125 PAYMENT,-125.99
05/07/2026,VENDOR 126 PAYMENT,-139.99
05/08/2026,VENDOR 127 PAYMENT,-40.99
05/09/2026,VENDOR 128 PAYMENT,-228.99
05/10/2026,VENDOR 129 PAYMENT,-495.99
05/11/2026,VENDOR 130 PAYMENT,-11.99
05/12/2026,VENDOR 131 PAYMENT,-328.99
05/13/2026,VENDOR 132 PAYMENT,-73.99
05/14/2026,VENDOR 133 PAYMENT,-304.99
05/15/2026,VENDOR 134 PAYMENT,-71.99
05/16/2026,VENDOR 135 PAYMENT,-499.99
05/17/2026,VENDOR 136 PAYMENT,-352.99
05/18/2026,VENDOR 137 PAYMENT,-401.99
05/19/2026,VENDOR 138 PAYMENT,-331.99
05/20/2026,VENDOR 139 PAYMENT,-436.99
05/21/2026,VENDOR 140 PAYMENT,-306.99
05/22/2026,VENDOR 141 PAYMENT,-157.99
05/23/2026,VENDOR 142 PAYMENT,-178.99
05/24/2026,VENDOR 143 PAYMENT,-235.99
05/25/2026,VENDOR 144 PAYMENT,-400.99
05/26/2026,VENDOR 145 PAYMENT,-167.99
05/27/2026,VENDOR 146 PAYMENT,-154.99
05/28/2026,VENDOR 147 PAYMENT,-342.99
05/29/2026,VENDOR 148 PAYMENT,-480.99
05/30/2026,VENDOR 149 PAYMENT,-333.99
05/31/2026,VENDOR 150 PAYMENT,-45.99
06/01/2026,VENDOR 151 PAYMENT,-61.99
06/02/2026,VENDOR 152 PAYMENT,-102.99
06/03/2026,VENDOR 153 PAYMENT,-189.99
06/04/2026,VENDOR 154 PAYMENT,-8.99
06/05/2026,VENDOR 155 PAYMENT,-151.99
06/06/2026,VENDOR 156 PAYMENT,-149.99
06/07/2026,VENDOR 157 PAYMENT,-395.99
06/08/2026,VENDOR 158 PAYMENT,-475.99
06/09/2026,VENDOR 159 PAYMENT,-84.99
06/10/2026,VENDOR 160 PAYMENT,-108.99
06/11/2026,VENDOR 161 PAYMENT,-421.99
06/12/2026,VENDOR 162 PAYMENT,-426.99
06/13/2026,VENDOR 163 PAYMENT,-453.99
06/14/2026,VENDOR 164 PAYMENT,-30.99
06/15/2026,VENDOR 165 PAYMENT,-154.99
06/16/2026,VENDOR 166 PAYMENT,-291.99
06/17/2026,VENDOR 167 PAYMENT,-260.99
06/18/2026,VENDOR 168 PAYMENT,-416.99
06/19/2026,VENDOR 169 PAYMENT,-5.99
06/20/2026,VENDOR 170 PAYMENT,-181.99
06/21/2026,VENDOR 171 PAYMENT,-483.99
06/22/2026,VENDOR 172 PAYMENT,-497.99
06/23/2026,VENDOR 173 PAYMENT,-387.99
06/24/2026,VENDOR 174 PAYMENT,-372.99
06/25/2026,VENDOR 175 PAYMENT,-350.99
06/26/2026,VENDOR 176 PAYMENT,-29.99
06/27/2026,VENDOR 177 PAYMENT,-184.99
06/28/2026,VENDOR 178 PAYMENT,-29.99
06/29/2026,VENDOR 179 PAYMENT,-193.99
01/01/2026,VENDOR 180 PAYMENT,-27.99
01/02/2026,VENDOR 181 PAYMENT,-475.99
01/03/2026,VENDOR 182 PAYMENT,-142.99
01/04/2026,VENDOR 183 PAYMENT,-231.99
01/05/2026,VENDOR 184 PAYMENT,-402.99
01/06/2026,VENDOR 185 PAYMENT,-111.99
01/07/2026,VENDOR 186 PAYMENT,-340.99
01/08/2026,VENDOR 187 PAYMENT,-136.99
01/09/2026,VENDOR 188 PAYMENT,-45.99
01/10/2026,VENDOR 189 PAYMENT,-215.99
01/11/2026,VENDOR 190 PAYMENT,-212.99
01/12/2026,VENDOR 191 PAYMENT,-260.99
01/13/2026,VENDOR 192 PAYMENT,-109.99
01/14/2026,VENDOR 193 PAYMENT,-366.99
01/15/2026,VENDOR 194 PAYMENT,-273.99
01/16/2026,VENDOR 195 PAYMENT,-134.99
01/17/2026,VENDOR 196 PAYMENT,-227.99
01/18/2026,VENDOR 197 PAYMENT,-88.99
01/19/2026,VENDOR 198 PAYMENT,-241.99
01/20/2026,VENDOR 199 PAYMENT,-477.99
01/21/2026,VENDOR 200 PAYMENT,-394.99
01/22/2026,VENDOR 201 PAYMENT,-213.99
01/23/2026,VENDOR 202 PAYMENT,-447.99
01/24/2026,VENDOR 203 PAYMENT,-438.99
01/25/2026,VENDOR 204 PAYMENT,-139.99
01/26/2026,VENDOR 205 PAYMENT,-27.99
01/27/2026,VENDOR 206 PAYMENT,-245.99
01/28/2026,VENDOR 207 PAYMENT,-51.99
01/29/2026,VENDOR 208 PAYMENT,-381.99
01/30/2026,VENDOR 209 PAYMENT,-66.99
01/31/2026,VENDOR 210 PAYMENT,-402.99
02/01/2026,VENDOR 211 PAYMENT,-206.99
02/02/2026,VENDOR 212 PAYMENT,-171.99
02/03/2026,VENDOR 213 PAYMENT,-287.99
02/04/2026,VENDOR 214 PAYMENT,-57.99
02/05/2026,VENDOR 215 PAYMENT,-174.99
02/06/2026,VENDOR 216 PAYMENT,-361.99
02/07/2026,VENDOR 217 PAYMENT,-143.99
02/08/2026,VENDOR 218 PAYMENT,-494.99
02/09/2026,VENDOR 219 PAYMENT,-316.99
02/10/2026,VENDOR 220 PAYMENT,-147.99
02/11/2026,VENDOR 221 PAYMENT,-134.99
02/12/2026,VENDOR 222 PAYMENT,-126.99
02/13/2026,VENDOR 223 PAYMENT,-64.99
02/14/2026,VENDOR 224 PAYMENT,-43.99
02/15/2026,VENDOR 225 PAYMENT,-64.99
02/16/2026,VENDOR 226 PAYMENT,-325.99
02/17/2026,VENDOR 227 PAYMENT,-378.99
02/18/2026,VENDOR 228 PAYMENT,-371.99
02/19/2026,VENDOR 229 PAYMENT,-93.99
02/20/2026,VENDOR 230 PAYMENT,-381.99
02/21/2026,VENDOR 231 PAYMENT,-124.99
02/22/2026,VENDOR 232 PAYMENT,-178.99
02/23/2026,VENDOR 233 PAYMENT,-202.99
02/24/2026,VENDOR 234 PAYMENT,-360.99
02/25/2026,VENDOR 235 PAYMENT,-263.99
02/26/2026,VENDOR 236 PAYMENT,-76.99
02/27/2026,VENDOR 237 PAYMENT,-202.99
02/28/2026,VENDOR 238 PAYMENT,-480.99
03/01/2026,VENDOR 239 PAYMENT,-472.99
03/02/2026,VENDOR 240 PAYMENT,-175.99
03/03/2026,VENDOR 241 PAYMENT,-444.99
03/04/2026,VENDOR 242 PAYMENT,-293.99
03/05/2026,VENDOR 243 PAYMENT,-368.99
03/06/2026,VENDOR 244 PAYMENT,-232.99
03/07/2026,VENDOR 245 PAYMENT,-345.99
03/08/2026,VENDOR 246 PAYMENT,-483.99
03/09/2026,VENDOR 247 PAYMENT,-308.99
03/10/2026,VENDOR 248 PAYMENT,-96.99
03/11/2026,VENDOR 249 PAYMENT,-333.99
03/12/2026,VENDOR 250 PAYMENT,-277.99
03/13/2026,VENDOR 251 PAYMENT,-323.99
03/14/2026,VENDOR 252 PAYMENT,-302.99
03/15/2026,VENDOR 253 PAYMENT,-399.99
03/16/2026,VENDOR 254 PAYMENT,-91.99
03/17/2026,VENDOR 255 PAYMENT,-468.99
03/18/2026,VENDOR 256 PAYMENT,-459.99
03/19/2026,VENDOR 257 PAYMENT,-446.99
03/20/2026,VENDOR 258 PAYMENT,-196.99
03/21/2026,VENDOR 259 PAYMENT,-397.99
03/22/2026,VENDOR 260 PAYMENT,-226.99
03/23/2026,VENDOR 261 PAYMENT,-295.99
03/24/2026,VENDOR 262 PAYMENT,-39.99
03/25/2026,VENDOR 263 PAYMENT,-4.99
03/26/2026,VENDOR 264 PAYMENT,-117.99
03/27/2026,VENDOR 265 PAYMENT,-233.99
03/28/2026,VENDOR 266 PAYMENT,-418.99
03/29/2026,VENDOR 267 PAYMENT,-374.99
03/30/2026,VENDOR 268 PAYMENT,-105.99
03/31/2026,VENDOR 269 PAYMENT,-38.99
04/01/2026,VENDOR 270 PAYMENT,-150.99
04/02/2026,VENDOR 271 PAYMENT,-0.99
04/03/2026,VENDOR 272 PAYMENT,-467.99
04/04/2026,VENDOR 273 PAYMENT,-348.99
04/05/2026,VENDOR 274 PAYMENT,-338.99
04/06/2026,VENDOR 275 PAYMENT,-498.99
04/07/2026,VENDOR 276 PAYMENT,-181.99
04/08/2026,VENDOR 277 PAYMENT,-252.99
04/09/2026,VENDOR 278 PAYMENT,-79.99
04/10/2026,VENDOR 279 PAYMENT,-351.99
04/11/2026,VENDOR 280 PAYMENT,-140.99
04/12/2026,VENDOR 281 PAYMENT,-381.99
04/13/2026,VENDOR 282 PAYMENT,-269.99
04/14/2026,VENDOR 283 PAYMENT,-440.99
04/15/2026,VENDOR 284 PAYMENT,-311.99
04/16/2026,VENDOR 285 PAYMENT,-389.99
04/17/2026,VENDOR 286 PAYMENT,-174.99
04/18/2026,VENDOR 287 PAYMENT,-58.99
04/19/2026,VENDOR 288 PAYMENT,-173.99
04/20/2026,VENDOR 289 PAYMENT,-465.99
04/21/2026,VENDOR 290 PAYMENT,-231.99
04/22/2026,VENDOR 291 PAYMENT,-466.99
04/23/2026,VENDOR 292 PAYMENT,-424.99
04/24/2026,VENDOR 293 PAYMENT,-471.99
04/25/2026,VENDOR 294 PAYMENT,-213.99
04/26/2026,VENDOR 295 PAYMENT,-162.99
04/27/2026,VENDOR 296 PAYMENT,-382.99
04/28/2026,VENDOR 297 PAYMENT,-491.99
04/29/2026,VENDOR 298 PAYMENT,-317.99
04/30/2026,VENDOR 299 PAYMENT,-485.99
05/01/2026,VENDOR 300 PAYMENT,-28.99
05/02/2026,VENDOR 301 PAYMENT,-321.99
05/03/2026,VENDOR 302 PAYMENT,-314.99
05/04/2026,VENDOR 303 PAYMENT,-332.99
05/05/2026,VENDOR 304 PAYMENT,-358.99
05/06/2026,VENDOR 305 PAYMENT,-340.99
05/07/2026,VENDOR 306 PAYMENT,-49.99
05/08/2026,VENDOR 307 PAYMENT,-224.99
05/09/2026,VENDOR 308 PAYMENT,-407.99
05/10/2026,VENDOR 309 PAYMENT,-134.99
05/11/2026,VENDOR 310 PAYMENT,-127.99
05/12/2026,VENDOR 311 PAYMENT,-40.99
05/13/2026,VENDOR 312 PAYMENT,-111.99
05/14/2026,VENDOR 313 PAYMENT,-293.99
05/15/2026,VENDOR 314 PAYMENT,-131.99
05/16/2026,VENDOR 315 PAYMENT,-120.99
05/17/2026,VENDOR 316 PAYMENT,-320.99
05/18/2026,VENDOR 317 PAYMENT,-376.99
05/19/2026,VENDOR 318 PAYMENT,-175.99
05/20/2026,VENDOR 319 PAYMENT,-496.99
05/21/2026,VENDOR 320 PAYMENT,-356.99
05/22/2026,VENDOR 321 PAYMENT,-53.99
05/23/2026,VENDOR 322 PAYMENT,-150.99
05/24/2026,VENDOR 323 PAYMENT,-466.99
05/25/2026,VENDOR 324 PAYMENT,-388.99
05/26/2026,VENDOR 325 PAYMENT,-21.99
05/27/2026,VENDOR 326 PAYMENT,-444.99
05/28/2026,VENDOR 327 PAYMENT,-412.99
05/29/2026,VENDOR 328 PAYMENT,-222.99
05/30/2026,VENDOR 329 PAYMENT,-183.99
05/31/2026,VENDOR 330 PAYMENT,-352.99
06/01/2026,VENDOR 331 PAYMENT,-459.99
06/02/2026,VENDOR 332 PAYMENT,-69.99
06/03/2026,VENDOR 333 PAYMENT,-14.99
06/04/2026,VENDOR 334 PAYMENT,-83.99
06/05/2026,VENDOR 335 PAYMENT,-347.99
06/06/2026,VENDOR 336 PAYMENT,-284.99
06/07/2026,VENDOR 337 PAYMENT,-461.99
06/08/2026,VENDOR 338 PAYMENT,-461.99
06/09/2026,VENDOR 339 PAYMENT,-357.99
06/10/2026,VENDOR 340 PAYMENT,-60.99
06/11/2026,VENDOR 341 PAYMENT,-353.99
06/12/2026,VENDOR 342 PAYMENT,-131.99
06/13/2026,VENDOR 343 PAYMENT,-53.99
06/14/2026,VENDOR 344 PAYMENT,-371.99
06/15/2026,VENDOR 345 PAYMENT,-290.99
06/16/2026,VENDOR 346 PAYMENT,-380.99
06/17/2026,VENDOR 347 PAYMENT,-455.99
06/18/2026,VENDOR 348 PAYMENT,-368.99
06/19/2026,VENDOR 349 PAYMENT,-34.99
06/20/2026,VENDOR 350 PAYMENT,-250.99
06/21/2026,VENDOR 351 PAYMENT,-253.99
06/22/2026,VENDOR 352 PAYMENT,-274.99
06/23/2026,VENDOR 353 PAYMENT,-268.99
06/24/2026,VENDOR 354 PAYMENT,-230.99
06/25/2026,VENDOR 355 PAYMENT,-371.99
06/26/2026,VENDOR 356 PAYMENT,-122.99
06/27/2026,VENDOR 357 PAYMENT,-286.99
06/28/2026,VENDOR 358 PAYMENT,-122.99
06/29/2026,VENDOR 359 PAYMENT,-176.99
01/01/2026,VENDOR 360 PAYMENT,-65.99
01/02/2026,VENDOR 361 PAYMENT,-286.99
01/03/2026,VENDOR 362 PAYMENT,-328.99
01/04/2026,VENDOR 363 PAYMENT,-190.99
01/05/2026,VENDOR 364 PAYMENT,-488.99
01/06/2026,VENDOR 365 PAYMENT,-271.99
01/07/2026,VENDOR 366 PAYMENT,-315.99
01/08/2026,VENDOR 367 PAYMENT,-361.99
01/09/2026,VENDOR 368 PAYMENT,-245.99
01/10/2026,VENDOR 369 PAYMENT,-195.99
01/11/2026,VENDOR 370 PAYMENT,-335.99
01/12/2026,VENDOR 371 PAYMENT,-232.99
01/13/2026,VENDOR 372 PAYMENT,-286.99
01/14/2026,VENDOR 373 PAYMENT,-316.99
01/15/2026,VENDOR 374 PAYMENT,-245.99
01/16/2026,VENDOR 375 PAYMENT,-78.99
01/17/2026,VENDOR 376 PAYMENT,-370.99
01/18/2026,VENDOR 377 PAYMENT,-343.99
01/19/2026,VENDOR 378 PAYMENT,-362.99
01/20/2026,VENDOR 379 PAYMENT,-218.99
01/21/2026,VENDOR 380 PAYMENT,-401.99
01/22/2026,VENDOR 381 PAYMENT,-339.99
01/23/2026,VENDOR 382 PAYMENT,-305.99
01/24/2026,VENDOR 383 PAYMENT,-196.99
01/25/2026,VENDOR 384 PAYMENT,-411.99
01/26/2026,VENDOR 385 PAYMENT,-3.99
01/27/2026,VENDOR 386 PAYMENT,-365.99
01/28/2026,VENDOR 387 PAYMENT,-109.99
01/29/2026,VENDOR 388 PAYMENT,-484.99
01/30/2026,VENDOR 389 PAYMENT,-188.99
01/31/2026,VENDOR 390 PAYMENT,-226.99
02/01/2026,VENDOR 391 PAYMENT,-311.99
02/02/2026,VENDOR 392 PAYMENT,-491.99
02/03/2026,VENDOR 393 PAYMENT,-266.99
02/04/2026,VENDOR 394 PAYMENT,-323.99
02/05/2026,VENDOR 395 PAYMENT,-40.99
02/06/2026,VENDOR 396 PAYMENT,-390.99
02/07/2026,VENDOR 397 PAYMENT,-150.99
02/08/2026,VENDOR 398 PAYMENT,-211.99
02/09/2026,VENDOR 399 PAYMENT,-466.99
02/10/2026,VENDOR 400 PAYMENT,-128.99
02/11/2026,VENDOR 401 PAYMENT,-181.99
02/12/2026,VENDOR 402 PAYMENT,-451.99
02/13/2026,VENDOR 403 PAYMENT,-302.99
02/14/2026,VENDOR 404 PAYMENT,-370.99
02/15/2026,VENDOR 405 PAYMENT,-18.99
02/16/2026,VENDOR 406 PAYMENT,-141.99
02/17/2026,VENDOR 407 PAYMENT,-213.99
02/18/2026,VENDOR 408 PAYMENT,-289.99
02/19/2026,VENDOR 409 PAYMENT,-95.99
02/20/2026,VENDOR 410 PAYMENT,-55.99
02/21/2026,VENDOR 411 PAYMENT,-283.99
02/22/2026,VENDOR 412 PAYMENT,-428.99
02/23/2026,VENDOR 413 PAYMENT,-182.99
02/24/2026,VENDOR 414 PAYMENT,-110.99
02/25/2026,VENDOR 415 PAYMENT,-140.99
02/26/2026,VENDOR 416 PAYMENT,-154.99
02/27/2026,VENDOR 417 PAYMENT,-28.99
02/28/2026,VENDOR 418 PAYMENT,-1.99
03/01/2026,VENDOR 419 PAYMENT,-199.99
03/02/2026,VENDOR 420 PAYMENT,-333.99
03/03/2026,VENDOR 421 PAYMENT,-176.99
03/04/2026,VENDOR 422 PAYMENT,-328.99
03/05/2026,VENDOR 423 PAYMENT,-213.99
03/06/2026,VENDOR 424 PAYMENT,-200.99
03/07/2026,VENDOR 425 PAYMENT,-377.99
03/08/2026,VENDOR 426 PAYMENT,-145.99
03/09/2026,VENDOR 427 PAYMENT,-317.99
03/10/2026,VENDOR 428 PAYMENT,-466.99
03/11/2026,VENDOR 429 PAYMENT,-386.99
03/12/2026,VENDOR 430 PAYMENT,-339.99
03/13/2026,VENDOR 431 PAYMENT,-369.99
03/14/2026,VENDOR 432 PAYMENT,-392.99
03/15/2026,VENDOR 433 PAYMENT,-318.99
03/16/2026,VENDOR 434 PAYMENT,-258.99
03/17/2026,VENDOR 435 PAYMENT,-307.99
03/18/2026,VENDOR 436 PAYMENT,-55.99
03/19/2026,VENDOR 437 PAYMENT,-244.99
03/20/2026,VENDOR 438 PAYMENT,-300.99
03/21/2026,VENDOR 439 PAYMENT,-199.99
03/22/2026,VENDOR 440 PAYMENT,-403.99
03/23/2026,VENDOR 441 PAYMENT,-391.99
03/24/2026,VENDOR 442 PAYMENT,-494.99
03/25/2026,VENDOR 443 PAYMENT,-22.99
03/26/2026,VENDOR 444 PAYMENT,-46.99
03/27/2026,VENDOR 445 PAYMENT,-87.99
03/28/2026,VENDOR 446 PAYMENT,-474.99
03/29/2026,VENDOR 447 PAYMENT,-128.99
03/30/2026,VENDOR 448 PAYMENT,-487.99
03/31/2026,VENDOR 449 PAYMENT,-321.99
04/01/2026,VENDOR 450 PAYMENT,-319.99
04/02/2026,VENDOR 451 PAYMENT,-126.99
04/03/2026,VENDOR 452 PAYMENT,-277.99
04/04/2026,VENDOR 453 PAYMENT,-417.99
04/05/2026,VENDOR 454 PAYMENT,-130.99
04/06/2026,VENDOR 455 PAYMENT,-465.99
04/07/2026,VENDOR 456 PAYMENT,-315.99
04/08/2026,VENDOR 457 PAYMENT,-183.99
04/09/2026,VENDOR 458 PAYMENT,-198.99
04/10/2026,VENDOR 459 PAYMENT,-420.99
04/11/2026,VENDOR 460 PAYMENT,-274.99
04/12/2026,VENDOR 461 PAYMENT,-366.99
04/13/2026,VENDOR 462 PAYMENT,-182.99
04/14/2026,VENDOR 463 PAYMENT,-139.99
04/15/2026,VENDOR 464 PAYMENT,-198.99
04/16/2026,VENDOR 465 PAYMENT,-371.99
04/17/2026,VENDOR 466 PAYMENT,-297.99
04/18/2026,VENDOR 467 PAYMENT,-318.99
04/19/2026,VENDOR 468 PAYMENT,-103.99
04/20/2026,VENDOR 469 PAYMENT,-395.99
04/21/2026,VENDOR 470 PAYMENT,-155.99
04/22/2026,VENDOR 471 PAYMENT,-123.99
04/23/2026,VENDOR 472 PAYMENT,-32.99
04/24/2026,VENDOR 473 PAYMENT,-482.99
04/25/2026,VENDOR 474 PAYMENT,-187.99
04/26/2026,VENDOR 475 PAYMENT,-287.99
04/27/2026,VENDOR 476 PAYMENT,-36.99
04/28/2026,VENDOR 477 PAYMENT,-499.99
04/29/2026,VENDOR 478 PAYMENT,-157.99
04/30/2026,VENDOR 479 PAYMENT,-297.99
05/01/2026,VENDOR 480 PAYMENT,-255.99
05/02/2026,VENDOR 481 PAYMENT,-211.99
05/03/2026,VENDOR 482 PAYMENT,-28.99
05/04/2026,VENDOR 483 PAYMENT,-77.99
05/05/2026,VENDOR 484 PAYMENT,-343.99
05/06/2026,VENDOR 485 PAYMENT,-112.99
05/07/2026,VENDOR 486 PAYMENT,-126.99
05/08/2026,VENDOR 487 PAYMENT,-161.99
05/09/2026,VENDOR 488 PAYMENT,-97.99
05/10/2026,VENDOR 489 PAYMENT,-312.99
05/11/2026,VENDOR 490 PAYMENT,-296.99
05/12/2026,VENDOR 491 PAYMENT,-366.99
05/13/2026,VENDOR 492 PAYMENT,-384.99
05/14/2026,VENDOR 493 PAYMENT,-243.99
05/15/2026,VENDOR 494 PAYMENT,-291.99
05/16/2026,VENDOR 495 PAYMENT,-247.99
05/17/2026,VENDOR 496 PAYMENT,-21.99
05/18/2026,VENDOR 497 PAYMENT,-219.99
05/19/2026,VENDOR 498 PAYMENT,-227.99
05/20/2026,VENDOR 499 PAYMENT,-420.99
05/21/2026,VENDOR 500 PAYMENT,-17.99
05/22/2026,VENDOR 501 PAYMENT,-449.99
05/23/2026,VENDOR 502 PAYMENT,-224.99
05/24/2026,VENDOR 503 PAYMENT,-306.99
05/25/2026,VENDOR 504 PAYMENT,-50.99
05/26/2026,VENDOR 505 PAYMENT,-126.99
05/27/2026,VENDOR 506 PAYMENT,-336.99
05/28/2026,VENDOR 507 PAYMENT,-183.99
05/29/2026,VENDOR 508 PAYMENT,-142.99
05/30/2026,VENDOR 509 PAYMENT,-211.99
05/31/2026,VENDOR 510 PAYMENT,-390.99
06/01/2026,VENDOR 511 PAYMENT,-452.99
06/02/2026,VENDOR 512 PAYMENT,-380.99
06/03/2026,VENDOR 513 PAYMENT,-95.99
06/04/2026,VENDOR 514 PAYMENT,-454.99
06/05/2026,VENDOR 515 PAYMENT,-124.99
06/06/2026,VENDOR 516 PAYMENT,-27.99
06/07/2026,VENDOR 517 PAYMENT,-244.99
